item_id,word,word_clean,word_english,category,category_english,questionnaire,raw_column_8_18,raw_column_19_36,is_duplicate_raw_column,notes,in_8_18,in_19_36
item_0001,इश/आह/उह (दर्द),इश/आह/उह (दर्द),ouch/ah/uh (pain sound),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,इश/आह/उह (दर्द),इश/आह/उह (दर्द),False,,True,True
item_0002,कू कू,कू कू,coo-coo,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,कू कू ,कू कू ,False,,True,True
item_0003,छुक-छुक (ट्रेन की आवाज़),छुक-छुक (ट्रेन की आवाज़),choo-choo (train sound),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,छुक-छुक (ट्रेन की आवाज़),छुक-छुक(ट्रेन की आवाज़),False,,True,True
item_0004,पिप पिप (कार के हार्न का शोर),पिप पिप (कार के हार्न का शोर),beep-beep (car horn),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,पिप पिप (कार के हार्न का शोर),पिप पिप (कार के हार्न का शोर),False,,True,True
item_0005,भों भों,भों भों,woof-woof,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,भों भों  ,भों भों  ,False,,True,True
item_0006,मियाऊँ,मियाऊँ,meow,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,मियाऊँ,मियाऊँ,False,,True,True
item_0007,मेह मेह (बकरी की आवाज),मेह मेह (बकरी की आवाज),baa (goat sound),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,मेह मेह (बकरी की आवाज) ,मेह मेह (बकरी की आवाज) ,False,,True,True
item_0008,मो (गाय की आवाज),मो (गाय की आवाज),moo (cow sound),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,मो (गाय की आवाज) ,मो (गाय की आवाज) ,False,,True,True
item_0009,क्रिंग क्रिंग (साइकिल का शोर घंटी),क्रिंग क्रिंग (साइकिल का शोर घंटी),ring-ring (bicycle bell),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,19_36,,क्रिंग क्रिंग (साइकिल का शोर घंटी) ,False,,False,True
item_0010,दररर -(कार की आवाज),दररर -(कार की आवाज),vroom/car sound,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,19_36,,दररर -(कार की आवाज),False,,False,True
item_0011,हा हा (हँसी),हा हा (हँसी),ha-ha/laughter,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,19_36,,हा हा (हँसी) ,False,,False,True
item_0012,कबूतर,कबूतर,pigeon,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,कबूतर ,कबूतर ,False,,True,True
item_0013,कीड़ा,कीड़ा,insect/bug,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,कीड़ा ,कीड़ा ,False,,True,True
item_0014,कुत्ता,कुत्ता,dog,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,कुत्ता ,कुत्ता ,False,,True,True
item_0015,खरगोश,खरगोश,rabbit,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,खरगोश ,खरगोश ,False,,True,True
item_0016,गाय,गाय,cow,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,गाय ,गाय ,False,,True,True
item_0017,चूहा,चूहा,mouse/rat,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,चूहा ,चूहा ,False,,True,True
item_0018,छिपकली,छिपकली,lizard,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,छिपकली ,छिपकली ,False,,True,True
item_0019,जानवर,जानवर,animal,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,जानवर ,जानवर ,False,,True,True
item_0020,टेडी बियर,टेडी बियर,teddy bear,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,टेडी बियर ,टेडी बियर ,True,,True,True
item_0021,तितली,तितली,butterfly,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,तितली,तितली,False,,True,True
item_0022,तोता,तोता,parrot,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,तोता ,तोता ,False,,True,True
item_0023,बंदर,बंदर,monkey,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,बंदर ,बंदर ,False,,True,True
item_0024,बकरा,बकरा,goat,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,बकरा ,बकरा ,False,,True,True
item_0025,बिल्ली,बिल्ली,cat,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,बिल्ली ,बिल्ली ,False,,True,True
item_0026,बैल,बैल,bull/ox,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,बैल ,बैल ,False,,True,True
item_0027,भैंस,भैंस,buffalo,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,भैंस ,भैंस ,False,,True,True
item_0028,मक्खी,मक्खी,fly,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,मक्खी ,मक्खी ,False,,True,True
item_0029,मच्छर,मच्छर,mosquito,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,मच्छर ,मच्छर ,False,,True,True
item_0030,मछली,मछली,fish,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,मछली ,मछली ,True,,True,True
item_0031,मुर्गा,मुर्गा,rooster,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,मुर्गा ,मुर्गा ,False,,True,True
item_0032,शेर,शेर,lion,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,शेर ,शेर ,False,,True,True
item_0033,हाथी,हाथी,elephant,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,हाथी ,हाथी ,False,,True,True
item_0034,सर्प,सर्प,snake,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,सर्प ,सर्प ,False,,True,True
item_0035,सुअर,सुअर,pig,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,सुअर ,सुअर ,False,,True,True
item_0036,अजगर,अजगर,python,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,अजगर ,False,,False,True
item_0037,उल्लू,उल्लू,owl,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,उल्लू ,False,,False,True
item_0038,कछुआ,कछुआ,turtle,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,कछुआ ,False,,False,True
item_0039,कुत्ते का पिल्ला,कुत्ते का पिल्ला,puppy,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,कुत्ते का पिल्ला ,False,,False,True
item_0040,कोयल,कोयल,cuckoo,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,कोयल ,False,,False,True
item_0041,कौवा,कौवा,crow,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,कौवा ,False,,False,True
item_0042,गधा,गधा,donkey,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,गधा ,False,,False,True
item_0043,गिलहरी,गिलहरी,squirrel,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,गिलहरी ,False,,False,True
item_0044,गैंडा,गैंडा,rhinoceros,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,गैंडा ,False,,False,True
item_0045,घोड़ा,घोड़ा,horse,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,घोड़ा ,False,,False,True
item_0046,चमगादड़,चमगादड़,bat,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,चमगादड़ ,False,,False,True
item_0047,चीता,चीता,cheetah,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,चीता ,False,,False,True
item_0048,ज़ेबरा,ज़ेबरा,zebra,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,ज़ेबरा ,False,,False,True
item_0049,जिराफ़,जिराफ़,giraffe,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,जिराफ़ ,False,,False,True
item_0050,जूँ,जूँ,louse,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,जूँ ,False,,False,True
item_0051,टिड्डा,टिड्डा,grasshopper,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,टिड्डा ,False,,False,True
item_0052,डायनासोर,डायनासोर,dinosaur,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,डायनासोर ,False,,False,True
item_0053,पेंगुइन,पेंगुइन,penguin,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,पेंगुइन ,False,,False,True
item_0054,बगुला,बगुला,heron,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,बगुला ,False,,False,True
item_0055,बत्तख,बत्तख,duck,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,बत्तख ,False,,False,True
item_0056,बुलबुल,बुलबुल,bulbul,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,बुलबुल,False,,False,True
item_0057,भालू,भालू,bear,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,भालू ,False,,False,True
item_0058,भेड़,भेड़,sheep,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,भेड़ ,False,,False,True
item_0059,मकड़ी,मकड़ी,spider,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,मकड़ी ,False,,False,True
item_0060,मगरमच्छ,मगरमच्छ,crocodile,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,मगरमच्छ ,False,,False,True
item_0061,मधु मक्खी,मधु मक्खी,honeybee,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,मधु मक्खी ,False,,False,True
item_0062,मेंढक,मेंढक,frog,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,मेंढक ,False,,False,True
item_0063,मेमना,मेमना,lamb,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,मेमना ,False,,False,True
item_0064,मैना,मैना,myna,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,मैना,False,,False,True
item_0065,लंगूर,लंगूर,langur,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,लंगूर ,False,,False,True
item_0066,लोमड़ी,लोमड़ी,fox,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,लोमड़ी ,False,,False,True
item_0067,हंस,हंस,swan/goose,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,हंस ,False,,False,True
item_0068,हड्डा,हड्डा,large bird/kite,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,हड्डा ,False,,False,True
item_0069,हिरन,हिरन,deer,जानवरों के नाम (असली या खिलौना जानवर),animal names,19_36,,हिरन ,False,,False,True
item_0070,ऑटो,ऑटो,auto-rickshaw,वाहन (असली या खिलौना),vehicles,8_18;19_36,ऑटो,ऑटो,False,,True,True
item_0071,कार,कार,car,वाहन (असली या खिलौना),vehicles,8_18;19_36,कार ,कार ,False,,True,True
item_0072,गाड़ी,गाड़ी,vehicle/car,वाहन (असली या खिलौना),vehicles,8_18;19_36,गाड़ी,गाड़ी,False,,True,True
item_0073,जहाज,जहाज,airplane/ship,वाहन (असली या खिलौना),vehicles,8_18;19_36,जहाज ,जहाज,False,,True,True
item_0074,ट्रेन,ट्रेन,train,वाहन (असली या खिलौना),vehicles,8_18;19_36,ट्रेन ,ट्रेन ,False,,True,True
item_0075,बस,बस,bus,वाहन (असली या खिलौना),vehicles,8_18;19_36,बस ,बस ,False,,True,True
item_0076,मोटरसाइकिल,मोटरसाइकिल,motorcycle,वाहन (असली या खिलौना),vehicles,8_18;19_36,मोटरसाइकिल,मोटरसाइकिल,False,,True,True
item_0077,रिक्शा,रिक्शा,rickshaw,वाहन (असली या खिलौना),vehicles,8_18;19_36,रिक्शा ,रिक्शा ,False,,True,True
item_0078,साइकिल,साइकिल,bicycle,वाहन (असली या खिलौना),vehicles,8_18;19_36,साइकिल ,साइकिल ,False,,True,True
item_0079,जिप,जिप,jeep,वाहन (असली या खिलौना),vehicles,19_36,,जिप ,False,,False,True
item_0080,टेम्पू,टेम्पू,tempo,वाहन (असली या खिलौना),vehicles,19_36,,टेम्पू ,False,,False,True
item_0081,ट्रक,ट्रक,truck,वाहन (असली या खिलौना),vehicles,19_36,,ट्रक ,False,,False,True
item_0082,नाव,नाव,boat,वाहन (असली या खिलौना),vehicles,19_36,,नाव ,False,,False,True
item_0083,बाइक,बाइक,bike,वाहन (असली या खिलौना),vehicles,19_36,,बाइक ,False,,False,True
item_0084,वैन,वैन,van,वाहन (असली या खिलौना),vehicles,19_36,,वैन ,False,,False,True
item_0085,हेलीकॉप्टर,हेलीकॉप्टर,helicopter,वाहन (असली या खिलौना),vehicles,19_36,,हेलीकॉप्टर ,False,,False,True
item_0086,कैरम,कैरम,carrom,खिलौने,toys,8_18;19_36,कैरम ,कैरम ,False,,True,True
item_0087,खिलौना कार,खिलौना कार,toy car,खिलौने,toys,8_18,खिलौना कार ,,False,,True,False
item_0088,खिलौना ट्रक,खिलौना ट्रक,toy truck,खिलौने,toys,8_18,खिलौना ट्रक ,,False,,True,False
item_0089,गुड़िया,गुड़िया,doll,खिलौने,toys,8_18;19_36,गुड़िया ,गुड़िया ,False,,True,True
item_0090,गेंद,गेंद,ball,खिलौने,toys,8_18;19_36,गेंद ,गेंद ,False,,True,True
item_0091,झुनझुना,झुनझुना,rattle,खिलौने,toys,8_18;19_36,झुनझुना ,झुनझुना ,False,,True,True
item_0092,टेडी बियर,टेडी बियर,teddy bear,खिलौने,toys,8_18;19_36,टेडी बियर .1,टेडी बियर .1,True,,True,True
item_0093,ड्रम,ड्रम,drum,खिलौने,toys,8_18,ड्रम ,,False,,True,False
item_0094,पेन,पेन,pen,खिलौने,toys,8_18,पेन ,,False,,True,False
item_0095,बल्ला,बल्ला,bat,खिलौने,toys,8_18;19_36,बल्ला ,बल्ला ,False,,True,True
item_0096,पजल,पजल,puzzle,खिलौने,toys,19_36,,पजल ,False,,False,True
item_0097,रिबन,रिबन,ribbon,खिलौने,toys,19_36,,रिबन ,False,,False,True
item_0098,लटू,लटू,spinning top,खिलौने,toys,19_36,,लटू ,False,,False,True
item_0099,लुकाछिपी,लुकाछिपी,hide and seek,खिलौने,toys,19_36,,लुकाछिपी ,False,,False,True
item_0100,लूडो,लूडो,ludo,खिलौने,toys,19_36,,लूडो,False,,False,True
item_0101,स्टिकर,स्टिकर,sticker,खिलौने,toys,19_36,,स्टिकर ,False,,False,True
item_0102,अंगूर,अंगूर,grapes,खाद्य और पेय,food and drink,8_18;19_36,अंगूर ,अंगूर ,False,,True,True
item_0103,अंडा,अंडा,egg,खाद्य और पेय,food and drink,8_18;19_36,अंडा ,अंडा ,False,,True,True
item_0104,अनार,अनार,pomegranate,खाद्य और पेय,food and drink,8_18;19_36,अनार ,अनार ,False,,True,True
item_0105,अन्न/ खाना,अन्न/ खाना,food,खाद्य और पेय,food and drink,8_18;19_36,अन्न/ खाना ,अन्न/ खाना ,False,,True,True
item_0106,अमरूद,अमरूद,guava,खाद्य और पेय,food and drink,8_18;19_36,अमरूद ,अमरूद ,False,,True,True
item_0107,आइसक्रीम,आइसक्रीम,ice cream,खाद्य और पेय,food and drink,8_18;19_36,आइसक्रीम ,आइसक्रीम ,False,,True,True
item_0108,आटा,आटा,flour,खाद्य और पेय,food and drink,8_18;19_36,आटा ,आटा ,False,,True,True
item_0109,आम,आम,mango,खाद्य और पेय,food and drink,8_18;19_36,आम ,आम ,False,,True,True
item_0110,आलू,आलू,potato,खाद्य और पेय,food and drink,8_18;19_36,आलू,आलू,False,,True,True
item_0111,औषधि,औषधि,medicine,खाद्य और पेय,food and drink,8_18;19_36,औषधि ,औषधि ,False,,True,True
item_0112,केला,केला,banana,खाद्य और पेय,food and drink,8_18;19_36,केला ,केला ,False,,True,True
item_0113,खिचड़ी,खिचड़ी,khichdi,खाद्य और पेय,food and drink,8_18;19_36,खिचड़ी ,खिचड़ी ,False,,True,True
item_0114,खीर,खीर,kheer/rice pudding,खाद्य और पेय,food and drink,8_18;19_36,खीर ,खीर ,False,,True,True
item_0115,खीरा,खीरा,cucumber,खाद्य और पेय,food and drink,8_18;19_36,खीरा ,खीरा ,False,,True,True
item_0116,गाजर,गाजर,carrot,खाद्य और पेय,food and drink,8_18;19_36,गाजर ,गाजर ,False,,True,True
item_0117,गुड़,गुड़,jaggery,खाद्य और पेय,food and drink,8_18;19_36,गुड़ ,गुड़ ,False,,True,True
item_0118,चाय,चाय,tea,खाद्य और पेय,food and drink,8_18;19_36,चाय ,चाय ,False,,True,True
item_0119,घी,घी,ghee,खाद्य और पेय,food and drink,8_18;19_36,घी ,घी ,False,,True,True
item_0120,चावल,चावल,rice,खाद्य और पेय,food and drink,8_18;19_36,चावल ,चावल ,False,,True,True
item_0121,चिकन,चिकन,chicken,खाद्य और पेय,food and drink,8_18;19_36,चिकन ,चिकन ,False,,True,True
item_0122,चिप्स,चिप्स,chips,खाद्य और पेय,food and drink,8_18;19_36,चिप्स ,चिप्स ,False,,True,True
item_0123,चॉकोलेट,चॉकोलेट,chocolate,खाद्य और पेय,food and drink,8_18;19_36,चॉकोलेट ,चॉकोलेट ,False,,True,True
item_0124,जलेबी,जलेबी,jalebi,खाद्य और पेय,food and drink,8_18;19_36,जलेबी ,जलेबी ,False,,True,True
item_0125,जूस,जूस,juice,खाद्य और पेय,food and drink,8_18;19_36,जूस ,जूस ,False,,True,True
item_0126,टमाटर,टमाटर,tomato,खाद्य और पेय,food and drink,8_18;19_36,टमाटर ,टमाटर ,False,,True,True
item_0127,तरबूज,तरबूज,watermelon,खाद्य और पेय,food and drink,8_18;19_36,तरबूज ,तरबूज ,False,,True,True
item_0128,दवा,दवा,medicine,खाद्य और पेय,food and drink,8_18;19_36,दवा ,दवा ,False,,True,True
item_0129,दही,दही,curd/yogurt,खाद्य और पेय,food and drink,8_18;19_36,दही,दही,False,,True,True
item_0130,दाल,दाल,lentils,खाद्य और पेय,food and drink,8_18;19_36,दाल ,दाल ,False,,True,True
item_0131,दूध,दूध,milk,खाद्य और पेय,food and drink,8_18;19_36,दूध ,दूध ,False,,True,True
item_0132,नमक,नमक,salt,खाद्य और पेय,food and drink,8_18;19_36,नमक ,नमक ,False,,True,True
item_0133,नाश्ता,नाश्ता,snack/breakfast,खाद्य और पेय,food and drink,8_18;19_36,नाश्ता ,नाश्ता ,False,,True,True
item_0134,पनीर,पनीर,paneer,खाद्य और पेय,food and drink,8_18;19_36,पनीर ,पनीर ,False,,True,True
item_0135,पपीता,पपीता,papaya,खाद्य और पेय,food and drink,8_18;19_36,पपीता ,पपीता ,False,,True,True
item_0136,पानी,पानी,water,खाद्य और पेय,food and drink,8_18;19_36,पानी ,पानी ,False,,True,True
item_0137,पिज़्ज़ा,पिज़्ज़ा,pizza,खाद्य और पेय,food and drink,8_18;19_36,पिज़्ज़ा ,पिज़्ज़ा ,False,,True,True
item_0138,पुलाव,पुलाव,pulao,खाद्य और पेय,food and drink,8_18;19_36,पुलाव ,पुलाव ,False,,True,True
item_0139,पॉपकॉर्न,पॉपकॉर्न,popcorn,खाद्य और पेय,food and drink,8_18;19_36,पॉपकॉर्न ,पॉपकॉर्न ,False,,True,True
item_0140,फल,फल,fruit,खाद्य और पेय,food and drink,8_18;19_36,फल ,फल ,False,,True,True
item_0141,बिरयानी,बिरयानी,biryani,खाद्य और पेय,food and drink,8_18;19_36,बिरयानी ,बिरयानी ,False,,True,True
item_0142,बिस्कुट,बिस्कुट,biscuit,खाद्य और पेय,food and drink,8_18;19_36,बिस्कुट ,बिस्कुट ,False,,True,True
item_0143,ब्रेड,ब्रेड,bread,खाद्य और पेय,food and drink,8_18;19_36,ब्रेड ,ब्रेड ,False,,True,True
item_0144,मक्खन,मक्खन,butter,खाद्य और पेय,food and drink,8_18;19_36,मक्खन ,मक्खन ,False,,True,True
item_0145,मखाना,मखाना,fox nuts,खाद्य और पेय,food and drink,8_18;19_36,मखाना ,मखाना ,False,,True,True
item_0146,मटर,मटर,peas,खाद्य और पेय,food and drink,8_18;19_36,मटर ,मटर ,False,,True,True
item_0147,मांस,मांस,meat,खाद्य और पेय,food and drink,8_18;19_36,मांस ,मांस ,False,,True,True
item_0148,मछली,मछली,fish,खाद्य और पेय,food and drink,8_18,मछली,,True,,True,False
item_0149,मिठाई,मिठाई,sweets,खाद्य और पेय,food and drink,8_18;19_36,मिठाई ,मिठाई ,False,,True,True
item_0150,मूंगफली,मूंगफली,peanuts,खाद्य और पेय,food and drink,8_18;19_36,मूंगफली ,मूंगफली ,False,,True,True
item_0151,रसगुल्ला,रसगुल्ला,rasgulla,खाद्य और पेय,food and drink,8_18;19_36,रसगुल्ला ,रसगुल्ला ,False,,True,True
item_0152,रोटी,रोटी,roti/flatbread,खाद्य और पेय,food and drink,8_18;19_36,रोटी ,रोटी ,False,,True,True
item_0153,लड्डू,लड्डू,laddu,खाद्य और पेय,food and drink,8_18;19_36,लड्डू ,लड्डू ,False,,True,True
item_0154,लॉलीपॉप,लॉलीपॉप,lollipop,खाद्य और पेय,food and drink,8_18;19_36,लॉलीपॉप ,लॉलीपॉप ,False,,True,True
item_0155,सब्जी,सब्जी,vegetable/curry,खाद्य और पेय,food and drink,8_18;19_36,सब्जी ,सब्जी ,False,,True,True
item_0156,समोसा,समोसा,samosa,खाद्य और पेय,food and drink,8_18;19_36,समोसा ,समोसा ,False,,True,True
item_0157,सलाद,सलाद,salad,खाद्य और पेय,food and drink,8_18;19_36,सलाद ,सलाद ,False,,True,True
item_0158,सूप,सूप,soup,खाद्य और पेय,food and drink,8_18;19_36,सूप ,सूप ,False,,True,True
